review,sentiment,processed_review,sentiment_score,predicted_sentiment
"Taut and organically gripping, Edward Dmytryk's Crossfire is a distinctive suspense thriller, an unlikely ""message"" movie using the look and devices of the noir cycle.<br /><br />Bivouacked in Washington, DC, a company of soldiers cope with their restlessness by hanging out in bars. Three of them end up at a stranger's apartment where Robert Ryan, drunk and belligerent, beats their host (Sam Levene) to death because he happens to be Jewish. Police detective Robert Young investigates with the help of Robert Mitchum, who's assigned to Ryan's outfit. Suspicion falls on the second of the three (George Cooper), who has vanished. Ryan slays the third buddy (Steve Brodie) to insure his silence before Young closes in.<br /><br />Abetted by a superior script by John Paxton, Dmytryk draws precise performances from his three starring Bobs. Ryan, naturally, does his prototypical Angry White Male (and to the hilt), while Mitchum underplays with his characteristic alert nonchalance (his role, however, is not central); Young may never have been better. Gloria Grahame gives her first fully-fledged rendition of the smart-mouthed, vulnerable tramp, and, as a sad sack who's leeched into her life, Paul Kelly haunts us in a small, peripheral role that he makes memorable.<br /><br />The politically engaged Dmytryk perhaps inevitably succumbs to sermonizing, but it's pretty much confined to Young's reminiscence of how his Irish grandfather died at the hands of bigots a century earlier (thus, incidentally, stretching chronology to the limit). At least there's no attempt to render an explanation, however glib, of why Ryan hates Jews (and hillbillies and...).<br /><br />Curiously, Crossfire survives even the major change wrought upon it -- the novel it's based on (Richard Brooks' The Brick Foxhole) dealt with a gay-bashing murder. But homosexuality in 1947 was still Beyond The Pale. News of the Holocaust had, however, begun to emerge from the ashes of Europe, so Hollywood felt emboldened to register its protest against anti-Semitism (the studios always quaked at the prospect of offending any potential ticket buyer).<br /><br />But while the change from homophobia to anti-Semitism works in general, the specifics don't fit so smoothly. The victim's chatting up a lonesome, drunk young soldier then inviting him back home looks odd, even though (or especially since) there's a girlfriend in tow. It raises the question whether this scenario was retained inadvertently or left in as a discreet tip-off to the original engine generating Ryan's murderous rage.",positive,"taut and organ grip , edward dmytryk 's crossfir is a distinct suspens thriller , an unlik `` messag '' movi use the look and devic of the noir cycle. < br / > < br / > bivouack in washington , dc , a compani of soldier cope with their restless by hang out in bar . three of them end up at a stranger 's apart where robert ryan , drunk and belliger , beat their host ( sam leven ) to death becaus he happen to be jewish . polic detect robert young investig with the help of robert mitchum , who 's assign to ryan 's outfit . suspicion fall on the second of the three ( georg cooper ) , who ha vanish . ryan slay the third buddi ( steve brodi ) to insur hi silenc befor young close in. < br / > < br / > abet by a superior script by john paxton , dmytryk draw precis perform from hi three star bob . ryan , natur , doe hi prototyp angri white male ( and to the hilt ) , while mitchum underplay with hi characterist alert nonchal ( hi role , howev , is not central ) ; young may never have been better . gloria graham give her first fully-fledg rendit of the smart-mouth , vulner tramp , and , as a sad sack who 's leech into her life , paul kelli haunt us in a small , peripher role that he make memorable. < br / > < br / > the polit engag dmytryk perhap inevit succumb to sermon , but it 's pretti much confin to young 's reminisc of how hi irish grandfath die at the hand of bigot a centuri earlier ( thu , incident , stretch chronolog to the limit ) . at least there 's no attempt to render an explan , howev glib , of whi ryan hate jew ( and hillbilli and ... ) . < br / > < br / > curious , crossfir surviv even the major chang wrought upon it -- the novel it 's base on ( richard brook ' the brick foxhol ) dealt with a gay-bash murder . but homosexu in 1947 wa still beyond the pale . new of the holocaust had , howev , begun to emerg from the ash of europ , so hollywood felt embolden to regist it protest against anti-semit ( the studio alway quak at the prospect of offend ani potenti ticket buyer ) . < br / > < br / > but while the chang from homophobia to anti-semit work in gener , the specif do n't fit so smoothli . the victim 's chat up a lonesom , drunk young soldier then invit him back home look odd , even though ( or especi sinc ) there 's a girlfriend in tow . it rais the question whether thi scenario wa retain inadvert or left in as a discreet tip-off to the origin engin gener ryan 's murder rage .",-0.9916,negative
"""Ardh Satya"" is one of the finest film ever made in Indian Cinema. Directed by the great director Govind Nihalani, this one is the most successful Hard Hitting Parallel Cinema which also turned out to be a Commercial Success. Even today, Ardh Satya is an inspiration for all leading directors of India.<br /><br />The film tells the Real-life Scenario of Mumbai Police of the 70s. Unlike any Police of other cities in India, Mumbai Police encompasses a Different system altogether. Govind Nihalani creates a very practical Outlay with real life approach of Mumbai Police Environment.<br /><br />Amongst various Police officers & colleagues, the film describes the story of Anand Velankar, a young hot-blooded Cop coming from a poor family. His father is a harsh Police Constable. Anand himself suffers from his father's ideologies & incidences of his father's Atrocities on his mother. Anand's approach towards immediate action against crime, is an inert craving for his own Job satisfaction. The film is here revolved in a Plot wherein Anand's constant efforts against crime are trampled by his seniors.This leads to frustrations, as he cannot achieve the desired Job-satisfaction. Resulting from the frustrations, his anger is expressed in excessive violence in the remand rooms & bars, also turning him to an alcoholic.<br /><br />The Spirit within him is still alive, as he constantly fights the system. He is aware of the system of the Metro, where the Police & Politicians are a inertly associated by far end. His compromise towards unethical practice is negative. Finally he gets suspended.<br /><br />The Direction is a master piece & thoroughly hard core. One of the best memorable scenes is when Anand breaks in the Underworld gangster Rama Shetty's house to arrest him, followed by short conversation which is fantastic. At many scenes, the film has Hair-raising moments.<br /><br />The Practical approach of Script is a major Punch. Alcoholism, Corruption, Political Influence, Courage, Deceptions all are integral part of Mumbai police even today. Those aspects are dealt brilliantly.<br /><br />Finally, the films belongs to the One man show, Om Puri portraying Anand Velankar traversing through all his emotions absolutely brilliantly.",positive,"`` ardh satya '' is one of the finest film ever made in indian cinema . direct by the great director govind nihalani , thi one is the most success hard hit parallel cinema which also turn out to be a commerci success . even today , ardh satya is an inspir for all lead director of india. < br / > < br / > the film tell the real-lif scenario of mumbai polic of the 70 . unlik ani polic of other citi in india , mumbai polic encompass a differ system altogeth . govind nihalani creat a veri practic outlay with real life approach of mumbai polic environment. < br / > < br / > amongst variou polic offic & colleagu , the film describ the stori of anand velankar , a young hot-blood cop come from a poor famili . hi father is a harsh polic constabl . anand himself suffer from hi father 's ideolog & incid of hi father 's atroc on hi mother . anand 's approach toward immedi action against crime , is an inert crave for hi own job satisfact . the film is here revolv in a plot wherein anand 's constant effort against crime are trampl by hi seniors.thi lead to frustrat , as he can not achiev the desir job-satisfact . result from the frustrat , hi anger is express in excess violenc in the remand room & bar , also turn him to an alcoholic. < br / > < br / > the spirit within him is still aliv , as he constantli fight the system . he is awar of the system of the metro , where the polic & politician are a inertli associ by far end . hi compromis toward uneth practic is neg . final he get suspended. < br / > < br / > the direct is a master piec & thoroughli hard core . one of the best memor scene is when anand break in the underworld gangster rama shetti 's hous to arrest him , follow by short convers which is fantast . at mani scene , the film ha hair-rais moments. < br / > < br / > the practic approach of script is a major punch . alcohol , corrupt , polit influenc , courag , decept all are integr part of mumbai polic even today . those aspect are dealt brilliantly. < br / > < br / > final , the film belong to the one man show , om puri portray anand velankar travers through all hi emot absolut brilliantli .",-0.6452,negative
"My first exposure to the Templarios & not a good one. I was excited to find this title among the offerings from Anchor Bay Video, which has brought us other cult classics such as ""Spider Baby"". The print quality is excellent, but this alone can't hide the fact that the film is deadly dull. There's a thrilling opening sequence in which the villagers exact a terrible revenge on the Templars (& set the whole thing in motion), but everything else in the movie is slow, ponderous &, ultimately, unfulfilling. Adding insult to injury: the movie was dubbed, not subtitled, as promised on the video jacket.",negative,"my first exposur to the templario & not a good one . i wa excit to find thi titl among the offer from anchor bay video , which ha brought us other cult classic such as `` spider babi '' . the print qualiti is excel , but thi alon ca n't hide the fact that the film is deadli dull . there 's a thrill open sequenc in which the villag exact a terribl reveng on the templar ( & set the whole thing in motion ) , but everyth els in the movi is slow , ponder & , ultim , unfulfil . ad insult to injuri : the movi wa dub , not subtitl , as promis on the video jacket .",-0.4545,negative
"One of the most significant quotes from the entire film is pronounced halfway through by the protagonist, the mafia middle-man Titta Di Girolamo, a physically non-descript, middle-aged man originally from Salerno in Southern Italy. When we're introduced to him at the start of the film, he's been living a non-life in an elegant but sterile hotel in the Italian-speaking Canton of Switzerland for the last ten years, conducting a business we are only gradually introduced to. While this pivotal yet apparently unremarkable scene takes place employees of the the Swiss bank who normally count Di Girolamo's cash tell him that 10,000 dollars are missing from his usual suitcase full of tightly stacked banknotes. At the news, he quietly but icily threatens his coaxing bank manager of wanting to close down his account. Meanwhile he tells us, the spectators, that when you bluff, you have to bluff right through to the end without fear of being caught out or appearing ridiculous. He says: you can't bluff for a while and then halfway through, tell the truth. Having eventually done this - bluffed only halfway through and told the truth, and having accepted the consequences of life and ultimately, love - is exactly the reason behind the beginning of Titta Di Girolamo's troubles. <br /><br />This initially unsympathetic character, a scowling, taciturn, curt man on the verge of 50, a man who won't even reply in kind to chambermaids and waitresses who say hello and goodbye, becomes at one point someone the spectator cares deeply about. At one point in his non-life, Titta decides to feel concern about appearing ""ridiculous"". The first half of the film may be described as ""slow"" by some. It does indeed reveal Di Girolamo's days and nights in that hotel at an oddly disjoined, deliberate pace, revealing seemingly mundane and irrelevant details. However, scenes that may have seemed unnecessary reveal just how essential they are as this masterfully constructed and innovative film unfolds before your eyes. The existence of Titta Di Girolamo - the man with no imagination, identity or life, the unsympathetic character you unexpectedly end up loving and feeling for when you least thought you would - is also conveyed with elegantly edited sequences and very interesting use of music (one theme by the Scottish band Boards of Canada especially stood out). <br /><br />Never was the contrast between the way Hollywood and Italy treat mobsters more at odds than since the release of films such as Le Conseguenze dell'Amore or L'Imbalsamatore. Another interesting element was the way in which the film made use of the protagonist's insomnia. Not unlike The Machinist (and in a far more explicit way, the Al Pacino film Insomnia), Le Conseguenze dell'Amore uses this condition to symbolise a deeper emotional malaise that's been rammed so deep into the obscurity of the unconscious, it's almost impossible to pin-point its cause (if indeed there is one). <br /><br />The young and sympathetic hotel waitress Sofia (played by Olivia Magnani, grand-daughter of the legendary Anna) and the memory of Titta's best friend, a man whom he hasn't seen in 20 years, unexpectedly provide a tiny window onto life that Titta eventually (though tentatively at first) accepts to look through again. Though it's never explicitly spelt out, the spectator KNOWS that to a man like Titta, accepting The Consequences of Love will have unimaginable consequences. A film without a single scene of sex or violence, a film that unfolds in its own time and concedes nothing to the spectator's expectations, Le Conseguenze dell'Amore is a fine representative of that small, quiet, discreet Renaissance that has been taking place in Italian cinema since the decline of Cinecittà during the second half of the 70s. The world is waiting for Italy to produce more Il Postino-like fare, more La Vita è Bella-style films... neglecting to explore fine creations like Le Conseguenze dell'Amore, L'Imbalsamatore and others. Your loss, world.",positive,"one of the most signific quot from the entir film is pronounc halfway through by the protagonist , the mafia middle-man titta di girolamo , a physic non-descript , middle-ag man origin from salerno in southern itali . when we 're introduc to him at the start of the film , he 's been live a non-lif in an eleg but steril hotel in the italian-speak canton of switzerland for the last ten year , conduct a busi we are onli gradual introduc to . while thi pivot yet appar unremark scene take place employe of the the swiss bank who normal count di girolamo 's cash tell him that 10,000 dollar are miss from hi usual suitcas full of tightli stack banknot . at the news , he quietli but icili threaten hi coax bank manag of want to close down hi account . meanwhil he tell us , the spectat , that when you bluff , you have to bluff right through to the end without fear of be caught out or appear ridicul . he say : you ca n't bluff for a while and then halfway through , tell the truth . have eventu done thi - bluf onli halfway through and told the truth , and have accept the consequ of life and ultim , love - is exactli the reason behind the begin of titta di girolamo 's troubl . < br / > < br / > thi initi unsympathet charact , a scowl , taciturn , curt man on the verg of 50 , a man who wo n't even repli in kind to chambermaid and waitress who say hello and goodby , becom at one point someon the spectat care deepli about . at one point in hi non-lif , titta decid to feel concern about appear `` ridicul '' . the first half of the film may be describ as `` slow '' by some . it doe inde reveal di girolamo 's day and night in that hotel at an oddli disjoin , deliber pace , reveal seemingli mundan and irrelev detail . howev , scene that may have seem unnecessari reveal just how essenti they are as thi master construct and innov film unfold befor your eye . the exist of titta di girolamo - the man with no imagin , ident or life , the unsympathet charact you unexpectedli end up love and feel for when you least thought you would - is also convey with elegantli edit sequenc and veri interest use of music ( one theme by the scottish band board of canada especi stood out ) . < br / > < br / > never wa the contrast between the way hollywood and itali treat mobster more at odd than sinc the releas of film such as le conseguenz dell'amor or l'imbalsamator . anoth interest element wa the way in which the film made use of the protagonist 's insomnia . not unlik the machinist ( and in a far more explicit way , the al pacino film insomnia ) , le conseguenz dell'amor use thi condit to symbolis a deeper emot malais that 's been ram so deep into the obscur of the unconsci , it 's almost imposs to pin-point it caus ( if inde there is one ) . < br / > < br / > the young and sympathet hotel waitress sofia ( play by olivia magnani , grand-daught of the legendari anna ) and the memori of titta 's best friend , a man whom he ha n't seen in 20 year , unexpectedli provid a tini window onto life that titta eventu ( though tent at first ) accept to look through again . though it 's never explicitli spelt out , the spectat know that to a man like titta , accept the consequ of love will have unimagin consequ . a film without a singl scene of sex or violenc , a film that unfold in it own time and conced noth to the spectat 's expect , le conseguenz dell'amor is a fine repres of that small , quiet , discreet renaiss that ha been take place in italian cinema sinc the declin of cinecittà dure the second half of the 70 . the world is wait for itali to produc more il postino-lik fare , more la vita è bella-styl film ... neglect to explor fine creation like le conseguenz dell'amor , l'imbalsamator and other . your loss , world .",0.9975,positive
"I watched this film not really expecting much, I got it in a pack of 5 films, all of which were pretty terrible in their own way for under a fiver so what could I expect? and you know what I was right, they were all terrible, this movie has a few (and a few is stretching it) interesting points, the occasional camcorder view is a nice touch, the drummer is very like a drummer, i.e damned annoying and, well thats about it actually, the problem is that its just so boring, in what I can only assume was an attempt to build tension, a whole lot of nothing happens and when it does its utterly tedious (I had my thumb on the fast forward button, ready to press for most of the movie, but gave it a go) and seriously is the lead singer of the band that great looking, coz they don't half mention how beautiful he is a hell of a lot, I thought he looked a bit like a meercat, all this and I haven't even mentioned the killer, I'm not even gonna go into it, its just not worth explaining. Anyway as far as I'm concerned Star and London are just about the only reason to watch this and with the exception of London (who was actually quite funny) it wasn't because of their acting talent, I've certainly seen a lot worse, but I've also seen a lot better. Best avoid unless your bored of watching paint dry.",negative,"i watch thi film not realli expect much , i got it in a pack of 5 film , all of which were pretti terribl in their own way for under a fiver so what could i expect ? and you know what i wa right , they were all terribl , thi movi ha a few ( and a few is stretch it ) interest point , the occasion camcord view is a nice touch , the drummer is veri like a drummer , i.e damn annoy and , well that about it actual , the problem is that it just so bore , in what i can onli assum wa an attempt to build tension , a whole lot of noth happen and when it doe it utterli tediou ( i had my thumb on the fast forward button , readi to press for most of the movi , but gave it a go ) and serious is the lead singer of the band that great look , coz they do n't half mention how beauti he is a hell of a lot , i thought he look a bit like a meercat , all thi and i have n't even mention the killer , i 'm not even gon na go into it , it just not worth explain . anyway as far as i 'm concern star and london are just about the onli reason to watch thi and with the except of london ( who wa actual quit funni ) it wa n't becaus of their act talent , i 've certainli seen a lot wors , but i 've also seen a lot better . best avoid unless your bore of watch paint dri .",0.2543,positive
"I bought this film at Blockbuster for $3.00, because it sounded interesting (a bit Ranma-esque, with the idea of someone dragging around a skeleton), because there was a cute girl in a mini-skirt on the back, and because there was a Restricted Viewing sticker on it. I thought it was going to be a sweet or at least sincere coming of age story with a weird indie edge. I was 100% wrong.<br /><br />Having watched it, I have to wonder how it got the restricted sticker, since there is hardly any foul language, little violence, and the closest thing to nudity (Honestly! I don't usually go around hoping for it!) is when the girl is in her nightgown and you see her panties (you see her panties a lot in this movie, because no matter what, she's wearing a miniskirt of some sort). Even the anti-religious humor is tame (and lame, caricatured, insincere, derivative, unoriginal, and worst of all not funny in the slightest--it would be better just to listen to Ray Stevens' ""Would Jesus Wear a Rolex on His Television Show""). This would barely qualify as PG-13 (it is Not Rated), but Blockbuster refuses to let anyone under the age of 17 rent this--as if it was pornographic. Any little kid could go in there and rent the edited version of Requiem for a Dream, but they insist that Zack and Reba is worse.<br /><br />It is, but not in that way.<br /><br />In a way, this worries me--the only thing left that could offend people is the idea of the suicide at the beginning. If anybody needs to see movies with honestly portrayed suicides (not this one, but better ones like The Virgin Suicides), it's teenagers. If both of those movies were rated R purely because of the suicide aspect, then I have little chance of turning a story I've been writing into a PG-13 movie (the main characters are eleven and a half and twelve). Suicide is one of the top three leading causes of death in teenagers (I think it's number 2), so chances are that most teens have been or will be affected by it.<br /><br />Just say no to this movie, though. 2/10.",negative,"i bought thi film at blockbust for $ 3.00 , becaus it sound interest ( a bit ranma-esqu , with the idea of someon drag around a skeleton ) , becaus there wa a cute girl in a mini-skirt on the back , and becaus there wa a restrict view sticker on it . i thought it wa go to be a sweet or at least sincer come of age stori with a weird indi edg . i wa 100 % wrong. < br / > < br / > have watch it , i have to wonder how it got the restrict sticker , sinc there is hardli ani foul languag , littl violenc , and the closest thing to nuditi ( honestli ! i do n't usual go around hope for it ! ) is when the girl is in her nightgown and you see her panti ( you see her panti a lot in thi movi , becaus no matter what , she 's wear a miniskirt of some sort ) . even the anti-religi humor is tame ( and lame , caricatur , insincer , deriv , unorigin , and worst of all not funni in the slightest -- it would be better just to listen to ray steven ' `` would jesu wear a rolex on hi televis show '' ) . thi would bare qualifi as pg-13 ( it is not rate ) , but blockbust refus to let anyon under the age of 17 rent thi -- as if it wa pornograph . ani littl kid could go in there and rent the edit version of requiem for a dream , but they insist that zack and reba is worse. < br / > < br / > it is , but not in that way. < br / > < br / > in a way , thi worri me -- the onli thing left that could offend peopl is the idea of the suicid at the begin . if anybodi need to see movi with honestli portray suicid ( not thi one , but better one like the virgin suicid ) , it 's teenag . if both of those movi were rate r pure becaus of the suicid aspect , then i have littl chanc of turn a stori i 've been write into a pg-13 movi ( the main charact are eleven and a half and twelv ) . suicid is one of the top three lead caus of death in teenag ( i think it 's number 2 ) , so chanc are that most teen have been or will be affect by it. < br / > < br / > just say no to thi movi , though . 2/10 .",-0.7531,negative
"The plot is about the death of little children. Hopper is the one who has to investigate the killings. During the movie it appears that he has some troubles with his daughter. In the end the serial killer get caught. That's it. But before you find out who dunnit, you have to see some terrible acting by all of the actors. It is unbelievable how bad these actors are, including Hopper. I could go on like this but that to much of a waste of my time. Just don't watch the movie. I've warned you.",negative,"the plot is about the death of littl children . hopper is the one who ha to investig the kill . dure the movi it appear that he ha some troubl with hi daughter . in the end the serial killer get caught . that 's it . but befor you find out who dunnit , you have to see some terribl act by all of the actor . it is unbeliev how bad these actor are , includ hopper . i could go on like thi but that to much of a wast of my time . just do n't watch the movi . i 've warn you .",-0.8248,negative
"Ever watched a movie that lost the plot? Well, this didn't even really have one to begin with.<br /><br />Where to begin? The achingly tedious scenes of our heroine sitting around the house with actually no sense of menace or even foreboding created even during the apparently constant thunderstorms (that are strangely never actually heard in the house-great double glazing)? The house that is apparently only a few miles from a town yet is several hours walk away(?) or the third girl who serves no purpose to the plot except to provide a surprisingly quick gory murder just as the tedium becomes unbearable? Or even the beginning which suggests a spate of 20+ killings throughout the area even though it is apparent the killer never ventures far from the house? Or the bizarre ritual with the salt & pepper that pretty much sums up most of the films inherent lack of direction.<br /><br />Add a lead actress who can't act but at least is willing to do some completely irrelevant nude shower scenes and this video is truly nasty, but not in the way you hope.<br /><br />Given a following simply for being banned in the UK in the 80's (mostly because of a final surprisingly over extended murder) it offers nothing but curiosity value- and one classic 'daft' murder (don't worry-its telegraphed at least ten minutes before).<br /><br />After a walk in the woods our victim comes to a rather steep upward slope which they obviously struggle up. Halfway through they see a figure at the top dressed in black and brandishing a large scythe. What do they do? Slide down and run like the rest of us? No, of course not- they struggle to the top and stand conveniently nice and upright in front of the murder weapon.<br /><br />It really IS only a movie as they say..",negative,"ever watch a movi that lost the plot ? well , thi did n't even realli have one to begin with. < br / > < br / > where to begin ? the achingli tediou scene of our heroin sit around the hous with actual no sens of menac or even forebod creat even dure the appar constant thunderstorm ( that are strang never actual heard in the house-great doubl glaze ) ? the hous that is appar onli a few mile from a town yet is sever hour walk away ( ? ) or the third girl who serv no purpos to the plot except to provid a surprisingli quick gori murder just as the tedium becom unbear ? or even the begin which suggest a spate of 20+ kill throughout the area even though it is appar the killer never ventur far from the hous ? or the bizarr ritual with the salt & pepper that pretti much sum up most of the film inher lack of direction. < br / > < br / > add a lead actress who ca n't act but at least is will to do some complet irrelev nude shower scene and thi video is truli nasti , but not in the way you hope. < br / > < br / > given a follow simpli for be ban in the uk in the 80 's ( mostli becaus of a final surprisingli over extend murder ) it offer noth but curios value- and one classic 'daft ' murder ( do n't worry-it telegraph at least ten minut befor ) . < br / > < br / > after a walk in the wood our victim come to a rather steep upward slope which they obvious struggl up . halfway through they see a figur at the top dress in black and brandish a larg scyth . what do they do ? slide down and run like the rest of us ? no , of cours not- they struggl to the top and stand conveni nice and upright in front of the murder weapon. < br / > < br / > it realli is onli a movi as they say ..",-0.9846,negative
"Okay, so this series kind of takes the route of 'here we go again!' Week in, week out David Morse's character helps out his ride who is in a bit of a pickle - but what's wrong with that!? David Morse is one of the greatest character actors out there, and certainly the coolest, and to have him in a series created by David Koepp - a great writer - is heaven!!<br /><br />Due to the lack of love for this show by many, I can't see it going to a season series - but you never know? The amount of rubbish that has made it beyond that baffles me - let's hope something good can make it past a first series!!!",positive,"okay , so thi seri kind of take the rout of 'here we go again ! ' week in , week out david mors 's charact help out hi ride who is in a bit of a pickl - but what 's wrong with that ! ? david mors is one of the greatest charact actor out there , and certainli the coolest , and to have him in a seri creat by david koepp - a great writer - is heaven ! ! < br / > < br / > due to the lack of love for thi show by mani , i ca n't see it go to a season seri - but you never know ? the amount of rubbish that ha made it beyond that baffl me - let 's hope someth good can make it past a first seri ! ! !",0.9864,positive
"After sitting through this pile of dung, my husband and I wondered whether it was actually the product of an experiment to see whether a computer program could produce a movie. It was that listless and formulaic. But the U.S. propaganda thrown in your face throughout the film proves--disappointingly--that it's the work of humans. Call me a conspiracy theorist, but quotes like, ""We have to steal the Declaration of Independence to protect it"" seem like ways to justify actions like the invasion of Iraq, etc. The fact that Nicholas Cage spews lines like, ""I would never use the Declaration of Independence as a bargaining chip"" with a straight face made me and my husband wonder whether the entire cast took Valium before shooting each scene. The ""reasoning"" behind each plot turn and new ""clue"" is truly ridiculous and impossible to follow. And there's also a bonus side plot of misogyny, with Dr. Whatever-Her-Name-Was being chided by all involved for ""never shutting up."" She's clearly in the movie only for looks, but they felt the need to slap a ""Dr."" title on her character to give her some gravity. At one point, Cage's character says, ""Don't you ever shut up?"" and the camera pans to her looking poutily down at her hands, like she's a child. Truly grotesque. The only benefit to this movie was that it's so astonishingly bad, you do get a few laughs out of it. The really scary thing is that a majority of the people watching the movie with us seemed to enjoy it. Creepy....",negative,"after sit through thi pile of dung , my husband and i wonder whether it wa actual the product of an experi to see whether a comput program could produc a movi . it wa that listless and formula . but the u.s. propaganda thrown in your face throughout the film prove -- disappointingli -- that it 's the work of human . call me a conspiraci theorist , but quot like , `` we have to steal the declar of independ to protect it '' seem like way to justifi action like the invas of iraq , etc . the fact that nichola cage spew line like , `` i would never use the declar of independ as a bargain chip '' with a straight face made me and my husband wonder whether the entir cast took valium befor shoot each scene . the `` reason '' behind each plot turn and new `` clue '' is truli ridicul and imposs to follow . and there 's also a bonu side plot of misogyni , with dr. whatever-her-name-wa be chide by all involv for `` never shut up . '' she 's clearli in the movi onli for look , but they felt the need to slap a `` dr. '' titl on her charact to give her some graviti . at one point , cage 's charact say , `` do n't you ever shut up ? '' and the camera pan to her look poutili down at her hand , like she 's a child . truli grotesqu . the onli benefit to thi movi wa that it 's so astonishingli bad , you do get a few laugh out of it . the realli scari thing is that a major of the peopl watch the movi with us seem to enjoy it . creepi ....",0.9809,positive
"It had all the clichés of movies of this type and no substance. The plot went nowhere and at the end of the movie I felt like a sucker for watching it. The production was good; however, the script and acting were B-movie quality. The casting was poor because there were good actors mixed in with crumby actors. The good actors didn't hold their own nor did they lift up the others. <br /><br />This movie is not worthy of more words, but I will say more to meet the minimum requirement of ten lines. James Wood and Cuba Gooding, Jr. play caricatures of themselves in other movies. <br /><br />If you are looking for mindless entertainment, I still wouldn't recommend this movie.",negative,"it had all the cliché of movi of thi type and no substanc . the plot went nowher and at the end of the movi i felt like a sucker for watch it . the product wa good ; howev , the script and act were b-movi qualiti . the cast wa poor becaus there were good actor mix in with crumbi actor . the good actor did n't hold their own nor did they lift up the other . < br / > < br / > thi movi is not worthi of more word , but i will say more to meet the minimum requir of ten line . jame wood and cuba good , jr. play caricatur of themselv in other movi . < br / > < br / > if you are look for mindless entertain , i still would n't recommend thi movi .",0.6292,positive
"This movie is based on the book, ""A Many Splendored Thing"" by Han Suyin and tackles issues of race relations between Asians and Whites, a topic that comes from Han's personal experiences as an Eurasian growing up in China. That background, and the beautiful Hong Kong settings, gives this love story a unique and rather daring atmosphere for its time.<br /><br />Other than that, the story is a stereotypical romance with a memorable song that is perhaps more remembered than the movie itself. The beautiful Jennifer Jones looks the part and gives a wonderful, Oscar nominated performance as a doctor of mixed breed during the advent of Communism in mainland China. William Holden never looked better playing a romantic lead as a journalist covering war torn regions in the world. The acting is top notch, and the chemistry between the two lovers provides for some genuine moments of silver screen affection sure to melt the hearts of those who are romantically inclined.<br /><br />The cinematography really brings out fifty's Hong Kong, especially the hilltop overlooking the harbor where the two lovers spend their most intimate moments. The ending is a real tear-jerker. Some may consider sentimental romances passé, but, for those who enjoy classic Hollywood love stories, this is a shining example.",positive,"thi movi is base on the book , `` a mani splendor thing '' by han suyin and tackl issu of race relat between asian and white , a topic that come from han 's person experi as an eurasian grow up in china . that background , and the beauti hong kong set , give thi love stori a uniqu and rather dare atmospher for it time. < br / > < br / > other than that , the stori is a stereotyp romanc with a memor song that is perhap more rememb than the movi itself . the beauti jennif jone look the part and give a wonder , oscar nomin perform as a doctor of mix breed dure the advent of commun in mainland china . william holden never look better play a romant lead as a journalist cover war torn region in the world . the act is top notch , and the chemistri between the two lover provid for some genuin moment of silver screen affect sure to melt the heart of those who are romant inclined. < br / > < br / > the cinematographi realli bring out fifti 's hong kong , especi the hilltop overlook the harbor where the two lover spend their most intim moment . the end is a real tear-jerk . some may consid sentiment romanc passé , but , for those who enjoy classic hollywood love stori , thi is a shine exampl .",0.9507,positive
"Of all the films I have seen, this one, The Rage, has got to be one of the worst yet. The direction, LOGIC, continuity, changes in plot-script and dialog made me cry out in pain. ""How could ANYONE come up with something so crappy""? Gary Busey is know for his ""B"" movies, but this is a sure ""W"" movie. (W=waste).<br /><br />Take for example: about two dozen FBI & local law officers surround a trailer house with a jeep wagoneer. Inside the jeep is MA and is ""confused"" as to why all the cops are about. Within seconds a huge gun battle ensues, MA being killed straight off. The cops blast away at the jeep with gary and company blasting away at them. The cops fall like dominoes and the jeep with Gary drives around in circles and are not hit by one single bullet/pellet. MA is killed and gary seems to not to have noticed-damn that guy is tough. Truly a miracle, not since the six-shooter held 300 bullets has there been such a miracle.",negative,"of all the film i have seen , thi one , the rage , ha got to be one of the worst yet . the direct , logic , continu , chang in plot-script and dialog made me cri out in pain . `` how could anyon come up with someth so crappi '' ? gari busey is know for hi `` b '' movi , but thi is a sure `` w '' movi . ( w=wast ) . < br / > < br / > take for exampl : about two dozen fbi & local law offic surround a trailer hous with a jeep wagon . insid the jeep is ma and is `` confus '' as to whi all the cop are about . within second a huge gun battl ensu , ma be kill straight off . the cop blast away at the jeep with gari and compani blast away at them . the cop fall like domino and the jeep with gari drive around in circl and are not hit by one singl bullet/pellet . ma is kill and gari seem to not to have noticed-damn that guy is tough . truli a miracl , not sinc the six-shoot held 300 bullet ha there been such a miracl .",-0.8922,negative
